#{"t_start": 1682950948.4934337, "env_id": null}
r,l,t
-8330932.0,601,556.84652
-8368289.0,601,556.84652
-8783555.0,601,559.681556
-8760858.0,601,562.136516
-8412461.0,601,562.136516
-8514623.0,601,562.136516
-8868484.0,601,564.978518
-8852754.0,601,567.364519
-8505339.0,601,567.364519
-8621017.0,601,567.364519
-8959112.0,601,575.414517
-8974257.0,601,577.793551
-8589730.0,601,577.793551
-8695528.0,601,577.793551
-9099119.0,601,580.643517
-9118335.0,601,583.047518
-8715294.0,601,583.047518
-8793270.0,601,583.047518
-9186384.0,601,585.88455
-9300028.0,601,588.267516
-8856624.0,601,588.267516
-8882956.0,601,588.267516
-9274389.0,601,591.057516
-9422616.0,601,598.575029
-8959866.0,601,598.575029
-8961374.0,601,598.575029
-9352274.0,601,601.68136
-9586789.0,601,604.260356
-9082898.0,601,604.260356
-9064208.0,601,604.260356
-9475055.0,601,607.292356
-9679887.0,601,609.891356
-9184528.0,601,609.891356
-9156170.0,601,609.891356
-9590559.0,601,612.758355
-9832813.0,601,615.750999
-9276629.0,601,615.750999
-9255961.0,601,615.750999
-9691828.0,601,623.58874
-9934542.0,601,626.016774
-9429791.0,601,626.016774
-9394626.0,601,626.016774
-9804703.0,601,628.87674
-10027987.0,601,631.293739
-9520640.0,601,631.293739
-9486293.0,601,631.293739
-9902787.0,601,634.339739
-10112641.0,601,636.782738
-9597589.0,601,636.782738
-9596705.0,601,636.782738
-9962851.0,601,644.766779
-10196637.0,601,647.331742
-9683179.0,601,647.331742
-9745904.0,601,647.331742
